Phrase,Frequency
ancient ways,4
of years,4
white feet,4
human child,4
to the waters,4
with a faery,4
in hand,4
so let,4
of weeping,4
of love,4
old priest,4
white birds,3
in silence,3
white stars,3
at play,3
of the sea,3
in all men,3
of stars,3
legged fly,3
of heart,3
of the world,3
for the world,3
like the lion,3
little childer,3
of the sky,3
common things,3
own heart,3
bordered hem,3
for love,2
weary cry,2
on the foam,2
written page,2
in the water,2
to an isle,2
poor man,2
of sleep,2
on the chair,2
for flight,2
in the eaves,2
in a ring,2
of the air,2
blind hound,2
of intellect,2
sweet dancer,2
little while,2
in the bitter glass,2
from the world,2
to these children,2
bitter glass,2
aged hounds,2
of the meteor,2
blue star,2
of the blue star,2
under the hill,2
certain good,2
warring kings,2
fling stones,2
of day,2
young man,2
after the red,2
old earth,2
on the pebbly shore,2
pebbly shore,2
little cry,2
with a kiss,2
by the nets,2
in the eve,2
on the water,2
of wood,2
proud maiden,2
old man,2
in the tides,2
in sleep,2
like children,2
sad hearts,2
famous ivories,2
under the boughs,2
more hear,2
bitter tide,2
more blinded,2
by man,2
woven sails,2
foolish things,2
eternal beauty,2
little space,2
wandering fire,2
of the stars,2
in the gloom,2
hear common things,2
in the sun,2
weak worm,2
small cave,2
lone border,2
in the grass,2
of the lake,2
mortal hopes,2
strange things,2
by the moon,2
bright hearts,2
of men,2
lonely melody,2
to the bright hearts,2
on the sea,2
whereof stars,2
on the grey rock,2
grey rock,2
by day,2
own sadness,2
with the bitter tide,2
from inland valleys,1
old birds,1
with pityin,1
surely come,1
sweet wine,1
without doors,1
northern cold,1
bare boreen,1
to the well,1
to mysel,1
young birds,1
ye little childer,1
in that day,1
human keening,1
now lay,1
cushioned chair,1
by score,1
in a cushioned chair,1
across the bare boreen,1
little straws,1
from the saltin,1
just born,1
inland valleys,1
blessed moonlight,1
of the long day,1
under the blessed moonlight,1
long day,1
in the say,1
with shore,1
pebbly street,1
along the pebbly street,1
poor fisher,1
own place,1
cold baby,1
hollow galleys,1
breaking men,1
dig old customs,1
old customs,1
drank sweet wine,1
weary woman,1
all reproved,1
for bite,1
unhuman misery,1
old eyes,1
with cushions,1
with new sorrow,1
on the sun,1
smitten grass,1
deep commune,1
holds deep commune,1
on the leaf,1
of the garden,1
bitter youth,1
from bitter youth,1
black cloud,1
strange men,1
from the house,1
lovely things,1
sheer miracle,1
seemed sheer miracle,1
to the multitude,1
from the circle,1
of the moon,1
pitches common things,1
ornamental bronze,1
amid the ornamental bronze,1
ancient image,1
only lies,1
new sorrow,1
from the stables,1
cushioned place,1
now leave,1
bring hound,1
strange road,1
on this strange road,1
ancient cheer,1
of ancient cheer,1
of books,1
with dreams,1
sleepy streams,1
in sleepy streams,1
to the armchair,1
brown nose,1
now moves,1
pleasant tongue,1
wasted hands,1
leading aged hounds,1
on the morn,1
wandering cry,1
in the old man,1
wandering music,1
feebly say,1
weeping score,1
to the birds,1
brazen battle,1
in the harvest,1
gray sands,1
with light,1
olden dances,1
weaving olden dances,1
mingling hands,1
mingling glances,1
taken flight,1
frothy bubbles,1
of troubles,1
wandering water,1
from the hills,1
in pools,1
little town,1
among the rushes,1
slumbering trout,1
unquiet dreams,1
from ferns,1
along the woodland,1
young streams,1
gray wolf,1
over the young streams,1
of the calves,1
warm hillside,1
on the warm hillside,1
heavy locks,1
of moonlight,1
fitful tune,1
came keeners,1
to a fitful tune,1
of some unhuman misery,1
wildly trolled,1
dark hair,1
dying sun,1
faint odours,1
sheds faint odours,1
through the air,1
from wire,1
with sound,1
falling dew,1
mournful ulalu,1
for the kind,1
to the woods,1
on a doorway,1
old tympan,1
wander wood,1
through summer,1
in the lake,1
leafy island,1
flapping herons,1
faery vats,1
of berries,1
stolen cherries,1
of tremendous feet,1
tremendous feet,1
on the hob,1
sing peace,1
along the wintry,1
brown mice,1
secret spirit,1
bubbling mire,1
of gold,1
in the gulph,1
on the pirates,1
penal days,1
in penal days,1
under the blinking,1
to a shoneen,1
free lands,1
had free lands,1
own snipe,1
in trust,1
as dowers,1
small holes,1
wore small holes,1
large holes,1
wore large holes,1
by the hair,1
rolling vale,1
from the wives,1
in the white,1
with a smile,1
have peace,1
with a frown,1
in the cart,1
keen stars,1
keen eyes,1
rocky shore,1
from a world,1
in the firelight,1
in the dishes,1
in a row,1
coloured trees,1
in the candles,1
curtained room,1
golden bees,1
in the woods,1
by rocky shore,1
in the doorway,1
shone keen eyes,1
of tears,1
as a rabbit,1
olive wood,1
with little snow,1
take love,1
on the tree,1
in a field,1
by the river,1
leaning shoulder,1
white hand,1
take life,1
on the weirs,1
little snow,1
in love,1
of olive wood,1
from that young child,1
on that scaffolding,1
more sound,1
with no more sound,1
strange thing,1
norman upland,1
poplar shade,1
in that poplar shade,1
south wind,1
west wind,1
exchange opinion,1
with any neighbouring,1
healthy flesh,1
young child,1
wildly bred,1
on the street,1
wild bird,1
in the wild,1
imagine lies,1
in any cage,1
childish gratitude,1
wild sake,1
ivory image,1
chosen youth,1
black hair,1
bodily movement,1
under eyelids,1
so gleam,1
danced heart,1
at puberty,1
in this lonely place,1
living creature,1
in passion,1
are scores,1
in privacy,1
of lovers,1
have beauty,1
of delight,1
barbarous crowd,1
talk men,1
exact likeness,1
of a child,1
burning sun,1
lonely thing,1
religious festival,1
on toe,1
old courtesies,1
lonely place,1
in old courtesies,1
venetian lady,1
to some intrigue,1
red shoes,1
panniered skirt,1
meditative critic,1
turkish trousers,1
at the moon,1
great battle,1
distant post,1
to a distant post,1
in the tent,1
topless towers,1
with the times,1
heavy rings,1
golden grasshoppers,1
unremembering nights,1
fifteenth night,1
in triumph,1
motionless head,1
moonlit eyeballs,1
never moved,1
on all things,1
little peace,1
with the minute,1
of mankind,1
yet seemed,1
in contemplation,1
so wrought,1
so stretched,1
crazy juice,1
of dancing,1
never gave,1
burning town,1
of folly,1
between the pull,1
dark moon,1
of the dark moon,1
of thought,1
western seas,1
in a song,1
ruined house,1
for wind,1
best labourer,1
monstrous crying,1
in the mind,1
at rest,1
from sleep,1
gentle silence,1
falling wave,1
windy fire,1
harmonious choir,1
into peace,1
old care,1
flaming wings,1
of sight,1
dim powers,1
drowsy thought,1
of drowsy thought,1
pale cup,1
like the pale cup,1
cloudy rim,1
with music,1
with woman,1
dancing silver,1
cold spirits,1
up the cold spirits,1
old moon,1
from the sky,1
still hides,1
blank eyes,1
under blank eyes,1
own will,1
by these wire,1
jointed jaws,1
magical breath,1
suddenly saw,1
imperious way,1
of the room,1
poor luck,1
in pride,1
of air,1
among dancers,1
furious path,1
new right,1
out new right,1
barbarous clangour,1
to the barbarous clangour,1
of a gong,1
mythological poet,1
solitary soul,1
to a swan,1
troubled mirror,1
brief gleam,1
approaching night,1
floating ribbon,1
secret meditation,1
amid the labyrinth,1
in art,1
in the station,1
off body,1
ancient habit,1
lucky death,1
for triumph,1
desolate heaven,1
into the desolate heaven,1
bring wildness,1
laborious life,1
afflict mankind,1
of cloth,1
shining web,1
had more charm,1
own blood,1
too had,1
pretty toys,1
public opinion,1
future days,1
fine thought,1
worst rogues,1
ancient tricks,1
great army,1
showy thing,1
into a ploughshare,1
little powder,1
with trumpeting,1
drunken soldiery,1
go scot,1
chinese dancers,1
with terror,1
into philosophy,1
under a rule,1
in a hole,1
of some intoxicant,1
shallow wits,1
from shallow wits,1
of mind,1
on master,1
mighty monument,1
ghostly solitude,1
in bits,1
in the grasshoppers,1
of winter,1
of honour,1
of truth,1
in pain,1
of stupid straw,1
pale locks,1
insolent fiend,1
bronzed peacock,1
red combs,1
still have,1
have pride,1
bring roses,1
in bloom,1
down the blinds,1
bring fiddle,1
in the room,1
from wine,1
still cries,1
with pleasure,1
everlasting taper,1
such praises,1
unblemished lineaments,1
with no stain,1
by a bird,1
of duchesses,1
surpassing womankind,1
for pay,1
out stain,1
with the elegance,1
young men,1
laughing eye,1
more charm,1
stupid straw,1
under the shadow,1
great eyes,1
to the wind,1
such burdens,1
had such burdens,1
on the mind,1
levelling wind,1
aching eyes,1
never saw,1
at the sun,1
fancied goodness,1
of solitude,1
foul storm,1
in mockery,1
of horses,1
handsome riders,1
sensitive ear,1
tossing mane,1
gathers head,1
sudden blast,1
dusty wind,1
of dusty wind,1
of feet,1
of images,1
in the labyrinth,1
of the wind,1
crazy hand,1
amorous cries,1
with amorous cries,1
angry cries,1
fading head,1
of mine,1
wild fowl,1
before earth,1
tender eyelids,1
on hopes,1
more turn,1
bitter mystery,1
brazen cars,1
of the wood,1
white breast,1
dim sea,1
of the dim sea,1
wandering stars,1
dishevelled wandering stars,1
among a crowd,1
silken dress,1
sleepy care,1
with planets,1
poured fish,1
into a pile,1
little silver,1
beloved isle,1
beside star,1
laden seas,1
woven roofs,1
under the woven roofs,1
new ease,1
by the sands,1
on money,1
prudent years,1
plashy place,1
woven shade,1
deep wood,1
on wing,1
on flame,1
in a strange place,1
accustomed hand,1
near no accustomed hand,1
of that land,1
in that solitude,1
planted cypress,1
indifferent stars,1
to the indifferent stars,1
first love,1
now lies,1
under boards,1
heavy days,1
coloured pride,1
underneath the grass,1
with the feet,1
laid side,1
by side,1
embroidered dress,1
sad beauty,1
oaken press,1
long hair,1
with footsteps,1
of earth,1
timid grace,1
with white feet,1
of angels,1
above the deep,1
before a plashy place,1
muddy mouth,1
to north,1
in the old days,1
poplar tree,1
known faces,1
weary night,1
green sods,1
under green sods,1
on a chair,1
at the moth,1
of eve,1
from the fields,1
into millions,1
in the wind,1
with shade,1
to mankind,1
of sparrow,1
on the floor,1
little care,1
with little care,1
never rode,1
rocky lane,1
by rocky lane,1
sick man,1
in grief,1
as a bird,1
at that word,1
for souls,1
great angels,1
purple robes,1
long gone,1
old days,1
gentle race,1
murmur ye,1
blessed skies,1
of moons,1
leafy tunes,1
awakens leafy tunes,1
at that singing,1
beside the well,1
sudden vengeance,1
deep earth,1
small knot,1
by the pool,1
unneeded voice,1
old silence,1
lonely folk,1
calm brows,1
with leafage,1
gentle feeling,1
like a fleece,1
angry mood,1
unhaunted sleep,1
taken man,1
with honey,1
of squall,1
crowned dancer,1
in the grave,1
