Item,Frequency,Category
old,52,Single Word
now,32,Single Word
more,30,Dance-Related
come,26,Single Word
little,23,Single Word
made,23,Single Word
have,19,Single Word
away,19,Single Word
had,19,Single Word
own,17,Single Word
long,16,Single Word
never,15,Single Word
let,15,Single Word
still,15,Single Word
sad,15,Single Word
white,15,Single Word
full,14,Dance-Related
there,14,Single Word
young,13,Single Word
leaves,13,Single Word
dead,13,Single Word
sing,12,Dance-Related
wandering,12,Dance-Related
went,12,Single Word
beech leaves old,12,Dance-Related
die,12,Dance-Related
dim,11,Single Word
said,11,Single Word
ancient,11,Single Word
hear,11,Dance-Related
heard,11,Dance-Related
lonely,10,Dance-Related
round,10,Dance-Related
gone,10,Dance-Related
then,10,Single Word
deep,9,Single Word
proud,9,Single Word
came,9,Single Word
poor,9,Single Word
far,9,Single Word
come near,9,Short Phrase
seemed,9,Dance-Related
gray,9,Single Word
gay,9,Single Word
saw,9,Single Word
wild,9,Single Word
new,9,Single Word
yet,9,Single Word
died,9,Dance-Related
near,9,Single Word
once,9,Single Word
heavy,8,Dance-Related
gentle,8,Single Word
say,8,Single Word
great,8,Single Word
leave,8,Single Word
passed,8,Single Word
thought,7,Single Word
pale,7,Single Word
give,7,Single Word
weary,7,Single Word
see,7,Dance-Related
beloved,7,Single Word
no more,7,Dance-Related
bring,7,Single Word
make,7,Single Word
known,6,Single Word
all,6,Single Word
sang,6,Single Word
woven,6,Single Word
only,6,Single Word
pass,6,Single Word
alone,6,Dance-Related
strange,6,Single Word
dance,6,Dance-Related
lies,6,Single Word
goes,6,Dance-Related
lay,6,Single Word
loved,6,Single Word
love,6,Single Word
cold,6,Single Word
last,6,Single Word
bitter,6,Single Word
high,6,Dance-Related
beech leaves,6,Dance-Related
leaves old,6,Short Phrase
hush,6,Single Word
gave,6,Single Word
quiet,6,Single Word
knew,6,Single Word
apart,6,Single Word
human,6,Dance-Related
live,6,Single Word
moves,6,Dance-Related
found,6,Single Word
seek,5,Dance-Related
gather,5,Dance-Related
small,5,Single Word
many,5,Dance-Related
red,5,Single Word
grew,5,Single Word
low,5,Single Word
cried,5,Single Word
fair,5,Single Word
dreamed,5,Dance-Related
find,5,Single Word
bear,5,Single Word
ever,5,Single Word
cast,5,Single Word
stood,5,Single Word
lift,5,Single Word
even,5,Single Word
wander,5,Single Word
called,4,Single Word
little further on,4,Long Phrase
gently,4,Single Word
lake once more,4,Dance-Related
also,4,Single Word
most,4,Single Word
sudden,4,Single Word
shut,4,Single Word
sweet,4,Dance-Related
knows,4,Single Word
lead,4,Single Word
down,4,Single Word
turn,4,Dance-Related
loud,4,Dance-Related
human child,4,Dance-Related
more full,4,Dance-Related
softly,4,Single Word
well,4,Single Word
bid,4,Single Word
shy,4,Dance-Related
always,4,Single Word
hid,4,Single Word
stand,4,Dance-Related
rode,4,Single Word
drove,4,Single Word
slept,4,Single Word
so let,4,Short Phrase
old priest,4,Dance-Related
once more,4,Dance-Related
brought,4,Single Word
began,4,Single Word
white feet,4,Short Phrase
first,4,Single Word
mad,4,Single Word
surely,4,Single Word
paced,4,Single Word
again,4,Single Word
also sooth,4,Short Phrase
thine own heart,4,Dance-Related
slowly,4,Dance-Related
grow,4,Single Word
danced,4,Dance-Related
break,4,Single Word
flying,4,Single Word
wise,4,Single Word
light,4,Single Word
good,4,Dance-Related
here,4,Single Word
dancing,4,Dance-Related
laughed,4,Single Word
ancient ways,4,Short Phrase
understand,4,Dance-Related
know,4,Single Word
weak worm hiding,4,Long Phrase
eternal beauty wandering,4,Dance-Related
no more hear,4,Dance-Related
strange things said,4,Dance-Related
grown,4,Single Word
heavy mortal hopes,4,Dance-Related
poor foolish things,4,Dance-Related
mournful,4,Single Word
learn,4,Single Word
more hear common,4,Dance-Related
foolish,4,Single Word
hear common things,4,Dance-Related
crazy,3,Single Word
was,3,Single Word
named,3,Single Word
half,3,Single Word
bordered hem,3,Short Phrase
hung,3,Single Word
shone,3,Dance-Related
grows,3,Single Word
turned,3,Dance-Related
therefore,3,Single Word
build,3,Single Word
far away,3,Short Phrase
wet,3,Single Word
white stars,3,Short Phrase
run,3,Dance-Related
dropping,3,Single Word
told,3,Single Word
warring,3,Single Word
raised,3,Single Word
smooth,3,Single Word
growing,3,Single Word
bordered,3,Single Word
fill,3,Single Word
mused,3,Single Word
common,3,Single Word
comes,3,Single Word
starry,3,Single Word
leafy,3,Dance-Related
pebbly,3,Single Word
tossing,3,Dance-Related
slow,3,Dance-Related
speak,3,Single Word
move,3,Dance-Related
take,3,Single Word
fixed,3,Dance-Related
blow,3,Single Word
little childer,3,Short Phrase
own heart,3,Dance-Related
help,3,Single Word
changing,3,Single Word
keening,3,Single Word
other,3,Single Word
sick,3,Single Word
rocky,3,Single Word
eyed,3,Single Word
leaning,3,Single Word
mock,3,Single Word
blind,3,Single Word
flaming,3,Single Word
hidden,3,Single Word
singing,3,Dance-Related
tell,3,Single Word
keep,3,Single Word
dark,3,Single Word
murmuring,3,Single Word
beat,3,Dance-Related
holy,3,Single Word
cushioned,3,Dance-Related
passing,3,Dance-Related
white birds,3,Short Phrase
so fair,3,Short Phrase
spread,3,Single Word
fled,3,Single Word
lost,3,Single Word
falls,3,Single Word
seen,3,Dance-Related
yellow,3,Single Word
brown,3,Single Word
sleepy,3,Single Word
running,3,Dance-Related
lights,3,Single Word
fling,3,Single Word
come away,3,Short Phrase
sorrow named,3,Short Phrase
worn,3,Single Word
went mad,3,Short Phrase
come let,3,Short Phrase
weak,3,Single Word
bright,3,Dance-Related
pearly,3,Single Word
common things,3,Dance-Related
faint,3,Single Word
legged,3,Single Word
legged fly,3,Short Phrase
mind moves,3,Dance-Related
weave,3,Single Word
forget,3,Single Word
unquiet,3,Single Word
burning,3,Single Word
shook,3,Single Word
treads,3,Dance-Related
done,3,Dance-Related
ran,3,Single Word
green,3,Single Word
boughs,3,Single Word
cease,3,Single Word
holds,3,Dance-Related
monstrous,2,Single Word
lit,2,Single Word
else,2,Single Word
only lies apart,2,Long Phrase
moths came once,2,Long Phrase
wide,2,Single Word
came once more,2,Dance-Related
most lonely thing,2,Dance-Related
no more wise,2,Dance-Related
cataract still cries,2,Long Phrase
limb have beauty,2,Long Phrase
poor tired child,2,Long Phrase
everlasting taper lights,2,Long Phrase
untold,2,Single Word
world once more,2,Dance-Related
poor man,2,Dance-Related
old eyes cloud,2,Dance-Related
green sods lay,2,Long Phrase
old silence bids,2,Long Phrase
great boughs drop,2,Long Phrase
hound only lies,2,Long Phrase
panniered skirt copied,2,Long Phrase
poor man sent,2,Dance-Related
looks,2,Single Word
rose be yet,2,Long Phrase
lake once,2,Short Phrase
hard,2,Single Word
knelt,2,Single Word
nurtured,2,Single Word
move most gently,2,Dance-Related
sent,2,Single Word
rocked,2,Single Word
eternal beauty,2,Short Phrase
dripping,2,Single Word
old man,2,Dance-Related
other loves await,2,Long Phrase
chase,2,Dance-Related
tittle gone astray,2,Dance-Related
mind ran all,2,Dance-Related
ruin,2,Single Word
thrust dead leaves,2,Long Phrase
poor man dead,2,Dance-Related
great battle lost,2,Long Phrase
manhood still have,2,Dance-Related
best,2,Single Word
still have pride,2,Long Phrase
further,2,Single Word
times blessed skies,2,Long Phrase
falls awakens leafy,2,Dance-Related
awakens leafy tunes,2,Dance-Related
holds deep commune,2,Dance-Related
whereof,2,Single Word
murmur,2,Single Word
poplar,2,Single Word
bitter tide,2,Short Phrase
trees keep murmuring,2,Long Phrase
sandalled,2,Single Word
side trees keep,2,Long Phrase
murmuring softly lip,2,Long Phrase
mortal,2,Dance-Related
fret lies,2,Short Phrase
dies,2,Dance-Related
wandering music dies,2,Dance-Related
eternal,2,Single Word
head falls low,2,Dance-Related
old fellow there,2,Long Phrase
hiding,2,Single Word
fine,2,Single Word
aged hounds,2,Short Phrase
had more charm,2,Dance-Related
angry,2,Single Word
blinded,2,Single Word
burn,2,Single Word
crave,2,Single Word
crowned,2,Dance-Related
feel,2,Single Word
quiet bows apart,2,Long Phrase
taken,2,Single Word
are scores beside,2,Long Phrase
sheds,2,Single Word
hills reply,2,Short Phrase
sprightly girl trodden,2,Dance-Related
crowned dancer miss,2,Dance-Related
wherefore murmur ye,2,Long Phrase
old days long,2,Long Phrase
lonely folk rejoice,2,Dance-Related
lone border,2,Dance-Related
long brown nose,2,Long Phrase
beauty wandering,2,Dance-Related
gentle feeling wraps,2,Long Phrase
