x	y	z	text
-31.496727	-27.82032	3.9236894	ancient ways
12.804589	21.97448	-9.707974	of years
25.54459	19.14511	12.297099	white feet
1.5267981	17.41313	-31.138655	human child
15.799909	9.463398	8.502674	to the waters
7.8500237	42.691444	-0.74720645	with a faery
15.156232	5.7404914	-7.175898	in hand
1.8290068	33.762264	-25.631441	so let
-5.327189	7.3021193	-7.4802527	of weeping
-5.2392106	16.098068	10.874578	of love
-15.189691	28.740679	7.374997	old priest
4.922355	-5.5322876	1.8092688	white birds
12.459336	8.076481	-4.6205864	in silence
18.234941	20.989475	11.281416	white stars
26.669014	6.042495	-2.9044297	at play
-10.377751	17.03441	-4.0872107	of the sea
29.295364	-6.2774687	-5.5849776	in all men
-0.31238705	20.89207	2.684638	of stars
30.903032	-14.554737	18.48752	legged fly
-0.054105375	18.393454	9.5074625	of heart
-2.1723692	13.466441	-3.4885063	of the world
-2.5811894	-1.1300042	1.6843761	for the world
22.523138	4.047707	-12.129664	like the lion
-11.749515	-5.2960987	11.316436	little childer
13.005892	18.856733	-4.4119864	of the sky
2.113261	-12.226289	3.1416962	common things
18.569841	-21.904715	26.182833	own heart
22.118101	-16.0879	8.523846	bordered hem
0.22776917	-4.244958	3.9917934	for love
-3.727798	36.362537	17.127575	weary cry
23.984604	4.2833624	10.236305	on the foam
11.95927	-7.7550263	9.089392	written page
5.1007895	6.7410736	-2.1772664	in the water
7.0387716	0.35484815	8.805593	to an isle
-9.559825	20.264278	-27.12568	poor man
7.751138	-2.128229	-4.647697	of sleep
19.908339	-0.7400973	13.431359	on the chair
-9.49992	-5.5493083	23.043545	for flight
2.5016942	1.8336365	-4.1854324	in the eaves
7.0452495	-2.9364014	-10.449442	in a ring
2.361207	13.321533	12.541899	of the air
11.405166	9.932813	45.20298	blind hound
2.8268366	14.615454	7.014805	of intellect
38.482147	-27.492716	-2.9715304	sweet dancer
-8.499802	-6.7841496	0.25183514	little while
30.139174	37.568687	3.226376	in the bitter glass
29.207087	21.361897	-15.79921	from the world
6.8617697	-7.2813396	-3.2042046	to these children
31.223589	38.540604	0.9496081	bitter glass
35.911488	-26.61654	-19.866045	aged hounds
-5.98762	14.1656	1.80787	of the meteor
7.3753657	2.3070831	-21.942337	blue star
5.9938126	0.33541727	-20.706207	of the blue star
-21.137064	15.258945	6.0074954	under the hill
-15.926494	3.7855008	-40.929058	certain good
-12.880765	7.491278	3.131924	warring kings
29.036568	9.323989	3.2868228	fling stones
-6.600871	22.864899	-0.1964237	of day
-1.4392505	19.774042	-22.79392	young man
3.4001942	-9.656309	18.42014	after the red
-8.131774	35.045662	7.3888054	old earth
-14.5000925	7.9182105	-17.392443	on the pebbly shore
-12.018505	6.85526	-17.682047	pebbly shore
-7.3571906	-4.338276	6.939922	little cry
13.723493	33.012527	-4.4451494	with a kiss
-15.536402	12.629675	-8.893991	by the nets
0.0870615	4.355367	-1.165576	in the eve
23.757881	-3.3732708	13.668432	on the water
-4.76598	8.470123	-0.10596311	of wood
10.784976	7.132326	-45.306076	proud maiden
-20.263344	28.947718	3.1630175	old man
-6.3771334	21.817999	-9.800452	in the tides
9.135795	-0.21908493	-5.372695	in sleep
21.61798	1.0173539	-13.780655	like children
-5.778429	21.627544	18.667526	sad hearts
16.865723	-11.433192	13.14136	famous ivories
-7.516382	-2.467046	1.6290408	under the boughs
-14.894504	10.025999	33.660805	more hear
28.89601	33.667973	-1.2877483	bitter tide
-23.800045	18.185934	37.02407	more blinded
-9.975817	18.842916	-20.298304	by man
18.22516	0.6427371	30.947632	woven sails
-27.022173	-2.0419648	20.707226	foolish things
3.7847593	24.952751	21.474113	eternal beauty
-5.277989	-6.510922	3.7408137	little space
4.905435	33.58612	9.944591	wandering fire
-0.67947614	19.808607	1.0225036	of the stars
3.2702127	1.8629932	-9.856362	in the gloom
2.3437395	-14.848105	0.8698536	hear common things
24.599857	3.1679826	3.9201283	in the sun
7.496476	-18.522045	-13.95518	weak worm
18.881002	-28.426058	14.089744	small cave
14.274145	-0.5641748	8.424355	lone border
-20.17319	6.4551926	-26.021898	in the grass
0.84203196	11.798226	0.6721357	of the lake
10.388062	-5.1257153	30.41065	mortal hopes
-2.2624714	-15.6177435	1.0396074	strange things
-19.174862	16.169012	-3.445908	by the moon
19.837193	12.535135	-0.8366232	bright hearts
-2.1939938	24.838923	5.90082	of men
1.7990208	-21.389517	16.926973	lonely melody
18.458822	13.046031	1.4311277	to the bright hearts
23.215342	1.4543177	13.160403	on the sea
14.261999	26.017242	5.662317	whereof stars
31.02122	-3.679767	18.27106	on the grey rock
33.490818	-3.860476	19.058771	grey rock
-22.384007	16.456402	-11.8404875	by day
15.652715	-18.717606	28.659588	own sadness
26.008715	34.12341	-1.0637941	with the bitter tide
-18.607292	-5.102859	4.040076	from inland valleys
-24.100187	31.917578	10.560337	old birds
12.525544	37.171093	-0.4006034	with pityin
19.627068	13.530955	-16.763866	surely come
43.33752	-23.118073	-3.4193466	sweet wine
5.172804	-11.6293335	-6.7204638	without doors
18.78802	-1.8460262	-27.319515	northern cold
23.291754	12.837123	-7.310285	bare boreen
15.201435	4.0519643	-15.984795	to the well
11.489252	11.32726	7.6770163	to mysel
3.2708263	18.36812	-21.810135	young birds
-10.440897	-6.7552457	14.135965	ye little childer
-2.4828427	26.435097	-11.568008	in that day
-27.680656	1.3601161	1.3841293	human keening
-17.270975	25.629477	22.612514	now lay
8.702764	-20.537292	10.026694	cushioned chair
-9.554954	13.3563595	-8.784673	by score
6.8152986	-19.217428	8.841593	in a cushioned chair
22.710659	15.3830385	-6.7255197	across the bare boreen
-8.755147	-11.655116	-0.99863756	little straws
32.23925	29.484715	-14.983909	from the saltin
34.937874	-26.722715	22.616568	just born
-20.11888	-4.6272707	6.1009197	inland valleys
-16.576635	43.227478	-10.040094	blessed moonlight
-1.9157634	-0.051111836	-2.9053502	of the long day
-17.855043	42.384018	-7.782262	under the blessed moonlight
-26.743427	16.489908	-10.796352	long day
-11.666214	0.69869244	-27.963945	in the say
-9.7973995	5.956049	-14.243587	with shore
-13.141032	6.0197215	-22.417673	pebbly street
-15.848668	6.666793	-22.145817	along the pebbly street
-8.464262	16.891235	-32.927734	poor fisher
12.525286	-22.307697	25.771946	own place
20.931696	2.0973234	-29.552643	cold baby
13.965282	-51.347942	-2.371301	hollow galleys
13.467291	21.78779	-23.470201	breaking men
-22.28989	40.10675	9.157644	dig old customs
-20.70132	36.953663	9.209608	old customs
44.97555	-24.563698	-0.84031135	drank sweet wine
0.9601691	45.62983	-10.903652	weary woman
33.382042	-7.649394	-2.1902688	all reproved
-9.353928	-2.0124722	25.771057	for bite
9.477003	19.76853	16.49852	unhuman misery
-32.766956	23.82207	13.544096	old eyes
21.84905	36.3857	4.0839834	with cushions
12.889847	34.6629	-12.82754	with new sorrow
25.266867	1.5351541	5.5063148	on the sun
-22.392065	4.8465815	-29.951103	smitten grass
41.621975	10.053984	7.188871	deep commune
44.016895	11.997937	8.394344	holds deep commune
25.285315	-1.1550566	10.449478	on the leaf
-2.0165691	20.909609	-3.0321422	of the garden
34.91789	33.79348	2.2512589	bitter youth
34.572475	31.518108	0.8501975	from bitter youth
-5.27176	-15.931307	-3.6419854	black cloud
2.576352	-15.531601	-4.395628	strange men
33.382282	25.900362	-19.086573	from the house
-30.56808	-7.177007	23.9331	lovely things
39.69656	5.6644444	20.227642	sheer miracle
37.239323	7.619151	20.823725	seemed sheer miracle
17.26289	12.97665	6.492846	to the multitude
33.322124	22.459692	-17.305563	from the circle
-20.80831	16.35273	-0.67198056	of the moon
-21.16463	-0.3758364	34.819916	pitches common things
-17.079334	3.0227022	2.031208	ornamental bronze
-15.4775505	1.4068898	0.5580518	amid the ornamental bronze
-29.832157	-30.773167	7.879551	ancient image
4.835528	11.09577	40.21215	only lies
12.4379835	32.951717	-14.925269	new sorrow
31.211637	25.876226	-11.67996	from the stables
8.469527	-19.787874	15.412767	cushioned place
-2.0843189	2.4051046	9.838207	now leave
36.509796	0.5931283	33.256817	bring hound
17.433598	-14.173578	20.597696	strange road
16.546722	-11.591106	21.529951	on this strange road
-35.34703	-32.407715	5.5315447	ancient cheer
-36.05751	-34.09386	7.240121	of ancient cheer
-2.056759	24.946142	0.98660535	of books
8.791729	35.483387	-5.2408466	with dreams
-32.15622	34.214462	-7.4104104	sleepy streams
-29.625961	34.147156	-7.7883816	in sleepy streams
14.091288	7.7862806	5.4126854	to the armchair
-41.718006	17.814817	-13.996108	brown nose
14.203571	-7.967515	-1.7604147	now moves
15.74927	33.946426	-28.867048	pleasant tongue
35.998955	-15.004319	2.8804402	wasted hands
38.02041	-28.673273	-18.480103	leading aged hounds
21.151299	-4.026314	10.957554	on the morn
0.17313069	33.027035	17.238255	wandering cry
-1.4066432	1.0402473	-7.393988	in the old man
1.2982194	-14.072538	-9.156334	wandering music
-13.706647	1.9638627	-32.076096	feebly say
-6.538871	11.939035	-8.583246	weeping score
15.559183	12.950619	9.850253	to the birds
0.5260668	-24.609516	-10.309485	brazen battle
0.40722385	10.567252	-9.876645	in the harvest
